glayCluster,name
3,LINC01366
3,AC004816.1
3,AC067930.2
6,RIOK2
3,AP005717.1
3,AC114956.2
5,AC010973.2
5,KIAA1614-AS1
3,AL683813.1
3,LINC00534
3,AC093673.1
3,AP000446.1
3,AC078850.1
3,SLC2A1-AS1
7,AC100810.1
5,LINC00189
3,AC007389.1
3,BCDIN3D-AS1
5,MIRLET7A1HG
5,AC243960.3
3,AC093157.1
3,AC105001.1
3,AC006064.2
3,RFX3-AS1
3,AL049870.3
3,AC037459.2
3,CPSF4
6,CD55
6,ZWILCH
1,ZNF462
3,AL606489.1
3,EXOSC10-AS1
3,GAS1RR
3,AC009121.3
6,WDR12
1,VASH1
3,AC131009.1
3,AC009005.1
6,UBR7
6,TSR1
6,TRIB2
6,TRAK2
1,TRAF3IP2
6,TNPO3
1,TNC
1,TMSB15A
6,TGFBI
1,TGFB3
1,TGFB2
1,TFRC
6,TBCCD1
3,LINC01239
3,AC138627.1
3,MAP4K3-DT
3,C1QTNF7-AS1
6,TAF3
1,SYT1
1,STK38L
6,SRF
6,SNRNP40
6,SNAPC2
2,RBM26-AS1
1,SLIT2
1,SLC9A3R1
1,SKA1
6,SEMA4F
6,SAR1A
6,RPIA
1,RGS4
6,RBM17
3,HCP5
3,LINC01094
6,RAD1
6,RABL6
6,RAB7A
6,RAB3GAP1
6,PXYLP1
6,PWP1
5,CARD8-AS1
1,PSMB6
6,PRTFDC1
6,PPP2R5C
1,POLDIP3
6,PNPLA6
1,PNMA2
1,PITPNM1
6,PHF21A
1,PAPPA
1,PALLD
6,PAFAH1B1
6,NUP50
6,NUP205
6,NUP188
3,HOXD-AS2
1,NTNG2
6,NRBP1
6,NPC2
1,NOX4
6,NOL10
6,NME7
1,NIM1K
6,NCBP1
6,NCAPD2
1,MYH15
6,MTA1
4,MRC2
1,MMP2
6,MIOS
6,MFN1
1,MFAP5
1,MEIS3
6,MASTL
1,MAGI2
1,MAFB
6,MAEA
1,LZTS3
6,LMAN2L
1,LLGL1
6,LIMS1
1,LIMK1
1,LIMA1
6,LAPTM4A
1,L1CAM
6,JOSD1
1,JDP2
6,JAM2
1,JAK2
1,ITGA8
1,IL13RA2
6,IL12A
1,IL11
6,IKBIP
3,NUTM2B-AS1
3,LINC02878
3,AC125807.2
2,AC015813.1
3,OCIAD1-AS1
6,IGDCC4
6,HSDL1
6,HPS3
5,AC009299.2
3,AC110995.1
3,AC119403.1
1,HMOX1
6,GXYLT2
1,GRB10
1,GRAMD1A
6,GOPC
1,GNB4
1,GFRA2
1,GFPT2
6,GDF11
1,GATAD2A
1,GAP43
5,LINC01415
5,FEZF1-AS1
5,AL023806.1
6,FKBP7
1,FBXO41
1,FANK1
6,EXTL3
1,EOGT
1,EMP3
1,EMILIN2
1,ELOVL4
1,EIF5A
2,AGBL5-AS1
7,LINC00639
6,DVL3
6,DGKZ
1,COL6A2
1,COL6A1
6,CNPY4
1,CLEC11A
1,CILP
1,CH25H
6,CGGBP1
6,CEP83
1,CDKN2A
1,CD276
6,CCDC6
6,CBY1
6,CALU
1,CA12
1,C1QTNF2
1,BBS9
6,ATG4B
6,ATG16L1
1,APLP1
6,ANKIB1
5,LINC00662
1,AK5
6,ADO
6,ABI2
4,ZC3H8
3,AC027020.2
3,SNHG26
4,XYLT2
3,AC091806.1
5,AC104825.1
3,LOXL1-AS1
3,AC011481.2
3,AL135905.1
1,VEPH1
1,USP32
4,UBE2Z
2,ADIRF-AS1
3,IQCH-AS1
4,TULP3
4,TRIP13
1,TM4SF1
4,TAF1D
3,GABPB1-AS1
4,SMARCD1
4,SLC39A13
1,SH2D5
4,SERPINH1
4,S100A11
1,ROR1
5,AC074117.1
5,LINC01515
3,AL354993.1
3,LINC01393
3,LANCL1-AS1
3,AC010976.1
4,PTMA
4,PPP1R9B
4,PLCE1
4,PARD6B
4,OXTR
3,AC016727.1
1,NT5C3B
4,NIFK
2,NFE2
4,MAPK7
4,LMNB2
4,KPNB1
1,KNTC1
4,IGSF3
3,LINC00654
3,AC009113.1
3,AC132872.2
3,AP000561.1
3,OGFRP1
3,KCNIP2-AS1
3,PPP1R14B-AS1
3,AL356056.2
3,SNAP25-AS1
3,AL512408.1
3,TMEM44-AS1
4,GCNT4
5,AC104667.1
5,AC027796.4
5,LINC02600
5,HOXB-AS1
5,AP002761.3
2,LINC00472
2,MAFG-DT
5,LINC01123
5,AC004951.1
5,AC005785.1
2,LINC00174
3,LINC01191
5,AC022973.5
4,FHL3
4,FAM117B
2,DLGAP1-AS1
4,DMWD
4,DMPK
5,KLF3-AS1
5,LINC02397
1,DDX6
1,DCAKD
4,CUL7
4,CTDNEP1
2,HCG9
2,RUSC1-AS1
3,AC010320.3
3,LINC02055
1,CREB5
4,CLTB
4,CIAO1
4,CD58
4,BRD9
4,B4GALT5
8,ATM
4,ANKS3
4,ZNF408
4,ZNF114
3,LINC00462
3,AC022126.1
1,WDR1
4,VPS18
1,VGLL3
4,VASP
4,URM1
4,UQCRQ
1,UQCR10
3,AL591895.1
3,AC010531.6
3,IL10RB-DT
3,LINC00839
3,CAMTA1-DT
3,HYI-AS1
1,UNC5B
4,UBE2M
6,TTYH3
4,TSPO
4,TRPC3
4,TRIM46
4,TRIM28
4,TRADD
4,TNIP1
4,TMEM161A
6,TMEM156
4,TMCO4
4,TECR
1,TBXA2R
4,TBC1D22A
4,TARBP1
1,SYNPO
4,STIL
1,ST3GAL1
4,SPRYD3
4,SNX8
4,SMOX
4,SLC25A1
4,SLC22A14
4,SLC22A13
4,SLC10A1
4,SHKBP1
4,SHC1
4,SH3GL1
2,SERPINE1
4,SEMA4A
4,SCYL1
2,AL662791.1
4,RUVBL2
4,RPS15
4,RPS11
4,RPL18
4,RPL13A
4,RNF185
1,RIN3
4,RGS7
1,RGMA
4,RFXANK
4,RER1
4,REC8
7,LINC02099
7,AC116348.1
7,LINC01569
7,AL356441.1
7,TSBP1-AS1
7,LINC02021
7,AC084866.2
7,AC016924.1
7,AC093496.1
7,AC005670.1
7,AC116903.2
7,AL359313.1
7,LINC02036
7,FAM53B-AS1
4,RBM24
4,RAB1B
4,PTTG1
4,PTPN6
4,PSMB5
4,PRPF31
1,PRKDC
4,PRKAA2
4,PPP1R37
4,PPM1D
4,POLD2
1,PODN
4,PNPLA3
4,PLEKHM2
4,PKD1L1
1,PIN1
4,PI4K2A
4,PHACTR3
1,PEA15
4,PDE8A
4,PARP10
4,PAF1
4,OSBPL9
4,OMA1
4,OLFML1
4,NUP210L
4,NUBP2
4,NTN5
4,NR1H2
4,NOC4L
4,NME1
4,NFKBIB
1,NEURL1B
6,NENF
4,NACC1
2,LINC02586
2,LINC00173
4,MSX2
4,MRPS34
4,MRPS15
4,MRPL28
3,AL157935.1
1,MMP19
4,MMP14
4,MGST2
4,MGRN1
1,MGP
1,MFSD1
4,MAP2K2
1,MAN2B1
1,MAN2A1
4,LY6K
4,LSM4
4,LRRC37A3
4,LAMTOR1
4,KLHL21
1,KIF13B
4,KDELR1
6,KCNJ15
4,JOSD2
1,JAZF1
1,ITGB5
1,ISLR
4,INTS2
9,IL24
3,AL604028.1
3,VASH1-AS1
1,IFI27L1
1,HTRA1
2,PCOTH
3,LINC01116
3,AC087636.1
3,AP000880.1
3,AL590705.1
4,HMMR
4,GYG2
4,GRIK4
4,GREB1
4,GPR37L1
4,GP5
4,GNL1
4,GNG11
4,GNA13
4,GIPC1
4,GDF9
4,GBP7
1,GAS7
4,GALR2
1,GAL
3,AC016876.2
3,AL035071.1
3,AC124798.1
4,FSD1L
6,FLVCR2
4,FLOT1
1,FGD5
4,FARSA
1,F2RL1
1,ELOVL5
4,ELMO3
4,EIF4H
2,LINC00702
1,EFS
1,EDNRA
4,EDF1
1,ECM2
2,LINC00426
4,DSCAM
4,DNAJA4
1,DEPTOR
1,DEPDC1
4,DDX49
4,DCST2
4,DCC
1,DACT3
4,CUZD1
4,CORO1B
4,COMMD4
1,COL1A2
1,CNFN
4,CKMT2
4,CHMP2A
1,CGREF1
4,CFL1
4,CENPB
4,CELF3
1,CDH13
4,CD2BP2
4,CD160
4,CCER2
4,CATSPERG
4,CALM3
1,CACNA1A
4,BTBD2
4,BRMS1
4,ATF5
4,ATAD3A
4,ARRB2
4,ANP32B
1,ADGRA2
1,ADAMTS2
1,ADAM12
4,ACTN4
1,ZNHIT1
1,ZNF516
1,ZC3H12A
5,LNCOC1
3,LINC01270
3,AC011450.1
3,AC027288.3
1,VASN
3,AC073529.1
3,AC069360.1
4,UACA
1,TUBGCP2
1,TPPP3
1,TMEM91
6,TMEM8B
4,TCF21
1,TCEA2
3,LINC01697
4,STK25
4,STARD13
1,SS18
1,SRRT
1,SNED1
1,SMIM20
1,SLC25A28
4,SLC16A3
1,SHH
1,SERPING1
6,SCN2A
1,RNASET2
1,RELL1
6,RCAN1
7,LINC00327
7,AC103740.1
7,AC079384.1
7,AL589745.1
3,TRAF3IP2-AS1
3,AC105206.2
3,REPIN1-AS1
7,AL049828.1
7,LINC00683
7,RNF216P1
7,LINC01505
7,ACTN1-AS1
7,HIF1A-AS3
7,ARHGEF35-AS1
7,ARHGAP29-AS1
7,AP001372.2
7,SMIM2-AS1
7,LEF1-AS1
3,BDNF-AS
7,TMEM9B-AS1
7,LINC01106
7,AC137894.1
2,LINC00240
7,AC098818.2
7,LNX1-AS2
7,FLJ46284
7,AP001767.2
7,AC018521.5
7,AC012313.6
7,OSMR-AS1
3,AC004540.1
3,POT1-AS1
3,AC026202.2
1,RASL10A
1,RAD17
1,PRC1
4,POLH
1,PEX11G
1,PCK2
4,OBSL1
1,NXF1
1,NOP2
1,NFKBIZ
1,NCEH1
4,MYO5C
3,LRP4-AS1
1,MAP1LC3A
1,LMBR1L
1,KLF10
4,ITGB6
1,ITGAE
1,ING4
1,IKBKB
3,AC026471.1
1,IFT122
6,HSP90AB1
2,HOXA4
3,AC107982.3
3,SEMA3F-AS1
3,LINC00943
1,GJC2
1,GJA1
4,GALNT11
1,GAA
3,AL354989.1
2,JPX
1,FBXW4
1,FAM43A
4,EXT1
1,EXOG
1,EVA1C
1,EPB41L2
1,ENGASE
2,DIO3OS
1,EFNB2
1,EFEMP2
2,PAXBP1-AS1
4,DIS3L2
1,DBNL
1,CXCL6
1,CTF1
1,CSNK1E
1,CLN3
1,CIRBP
1,CHST14
4,CDKL2
4,CDC5L
1,CBLB
1,CAV1
1,CASP1
4,CAB39
6,C7orf31
1,C1QTNF1
1,BUD31
1,BNIP2
4,ASB1
1,AIFM2
1,ACAD9
6,ABCF3
1,A4GALT
4,ZNF300
6,ZKSCAN7
7,AC093895.1
3,ARHGEF26-AS1
3,AL355916.2
1,USP5
4,UPK2
6,UPK1B
3,AC138028.1
7,AC008781.1
7,AL078590.2
4,UBE2C
2,MIR31HG
6,TYRO3
1,TUBG1
4,TROAP
4,TRMU
4,TNNT2
4,TNFSF15
4,TMPRSS2
4,TBX3
3,AC011379.2
4,SYTL1
1,SUOX
4,STX6
1,STING1
2,STAT2
4,SRMS
4,SPC24
1,SOD3
6,SMTN
4,SMARCD2
4,SLC38A4
4,SLC26A6
4,SLC25A33
4,SLC13A4
4,SKA3
4,SIX1
1,SHMT1
1,SH3PXD2B
4,SERF1B
1,SBSPON
4,RRAGD
6,RPL4
6,RPL38
6,RPL27A
4,RNF130
6,RIPK2
7,AC018467.1
7,AL031963.2
7,AL035458.2
7,AC005480.1
3,AC004039.1
7,SOCS2-AS1
7,AC007639.1
3,AL035071.2
7,AC005104.1
7,AL049780.1
7,C1RL-AS1
7,AL807752.5
7,LINC01252
3,AC013652.1
3,AF117829.1
3,AC079848.1
1,RAB40B
4,RAB27B
4,RAB15
4,PSCA
6,PROCR
6,PPP6R2
1,PPP1R3E
6,POLR1D
1,PLXND1
4,PLXNB3
4,PLXNA2
4,PLB1
1,PLAUR
6,PHKA1
4,PAK6
6,PA2G4
4,OSR1
4,NUBP1
4,NT5DC2
6,NOP56
4,NOP14
6,NOL12
1,NLGN1
4,NDUFS3
4,NCCRP1
4,NAT9
4,NANS
1,MTMR12
1,MPHOSPH9
3,DUXAP8
1,MLF2
6,METAP1
1,MELTF
6,MEIS1
6,MECOM
4,MAPK3
6,MAPK10
6,LYAR
1,LRP3
4,LDLR
4,LAD1
1,KY
6,KRT15
4,KLHDC8B
6,IMPDH2
3,AC006538.1
3,AC022916.1
4,IFITM10
6,IDH1
1,HYAL3
2,SNHG11
4,HSD17B2
3,AC138028.2
3,AC019197.1
3,LINC02709
3,LINC00621
3,LINC01857
1,HHEX
4,HEXB
2,SNHG5
4,GOLT1A
4,GDPD3
1,GBGT1
2,ACAP2-IT1
2,ZDHHC20-IT1
4,GATA5
4,GATA3
4,GAN
4,GABARAP
3,CCDC183-AS1
3,AL590705.3
3,LIPE-AS1
5,AC073332.1
5,AC022613.1
5,AC090152.1
4,FOXD4
1,FNBP1L
5,TMPO-AS1
4,FLAD1
4,FCHO1
4,FASN
4,FAM83D
6,EPHX4
6,ENOSF1
4,EMP2
6,ELF4
2,ELF1
1,EEF1A2
4,E2F8
4,E2F7
6,E2F3
6,DOK7
1,DOK5
6,DIO2
2,DICER1
5,MIR924HG
5,AL121839.2
6,DGAT2
4,DDX55
1,DDX21
1,CRY1
4,CRISPLD2
6,CRELD1
4,CREBL2
1,CPT2
6,CPT1C
3,AC011503.2
3,CCDC144NL-AS1
4,COTL1
4,COMMD1
2,COL2A1
4,CILP2
4,CHMP4A
6,CHCHD3
2,CARMN
2,CEBPA
4,CDCA3
4,CDC20
4,CD99L2
4,CCNL2
2,CCNB1
2,SOX2-OT
1,CCHCR1
4,CCDC88C
6,CCDC86
4,CBX2
4,CACNA1G
1,C3
1,C2
2,GS1-594A7.3
4,BLVRB
4,BDKRB2
4,AURKB
4,ATAD3B
6,ARHGDIB
4,AQP3
4,ANXA6
4,AMIGO2
1,ACRBP
4,ACP2
6,ACKR3
1,ACAD8
2,ZNF711
4,ZNF70
1,ZNF7
1,ZNF451
1,ZNF207
1,ZNF131
4,ZMYM3
4,ZGPAT
1,WNT3
3,NEBL-AS1
3,LINC02777
3,MIR34AHG
3,AC092894.1
3,AC004130.2
3,LINC00958
3,AL020996.1
3,AL359317.2
3,AL121672.2
5,LINC01806
1,WDHD1
1,VPS45
1,UTRN
1,USP39
1,UPF3B
3,AC025917.1
3,NINJ2-AS1
3,LINC02361
1,UBAP2L
3,HOXC-AS1
1,TXNIP
1,TUBGCP4
1,TRMT6
4,TRIOBP
1,TRAF5
1,TPBG
4,TOM1L2
1,TMX3
4,TMEM43
1,TMEM167A
3,APTR
3,AL031058.1
3,LGR4-AS1
1,TFDP1
1,TEX10
1,TCF3
4,TBRG1
1,SUZ12
1,STXBP5
1,STK19
1,SRSF3
4,SRRM1
1,SPAG9
4,SMAD7
1,SLTM
4,SLITRK5
1,SLC27A3
1,SHC4
4,SGSH
1,SFPQ
1,SF3B4
1,SEC61A2
1,SDC2
2,SNHG16
1,RRH
4,RRAGB
4,RNF217
1,RHOU
4,RHOT2
1,RFWD3
4,RECQL5
4,RDH13
5,RBPMS
1,RBMX
4,RBMS3
7,AC090912.2
7,AC108134.3
7,AC011346.1
7,AC136604.2
7,RAB11B-AS1
7,MZF1-AS1
7,LINCR-0001
7,AC018730.1
7,ITPR1-DT
7,AL008729.1
7,AL034417.2
7,AC116535.1
7,LINC00479
3,PIK3IP1-DT
7,AC091180.2
7,AL451042.2
3,LINC02614
3,AC009126.1
3,RBM5
7,LINC01376
1,RBM4
1,RBM39
3,AGBL5-IT1
3,RBM15-AS1
4,RAVER2
1,RASAL2
1,RALGPS2
4,RAB24
1,PYGB
4,PVRIG
1,PTPRU
1,PTK7
6,PSPC1
1,PSMA3
1,PSMA2
1,PRPF38B
1,PRPF3
1,PRMT1
1,PRKAB2
1,PRKAA1
4,PPFIA1
1,POLR1C
4,POLM
1,PNN
1,PLPPR2
1,PLOD2
6,PIGC
1,PHIP
4,PHF7
1,PHF20L1
1,PDGFA
1,PDE6B
4,PCNT
1,PCID2
4,PCGF2
4,PCGF1
4,PBX2
1,P3H1
1,ORC2
1,OFD1
1,ODF2
1,NOP58
4,NOL3
1,NOC2L
1,NISCH
4,NDOR1
4,NCBP3
4,IDI2-AS1
6,NAT10
4,MTMR3
3,AC068338.2
3,NOP14-AS1
6,MFSD8
4,MC1R
1,MAP4K5
1,MAML1
1,MALT1
1,LRP4
4,LRCH4
1,ZNF846
1,LMNA
4,LIN7B
1,LBR
1,LAS1L
1,KITLG
1,KIDINS220
1,KDM5B
1,JAG1
4,IGHMBP2
3,NCKAP5-AS2
3,AL603839.2
3,AC005606.2
4,IFT80
4,ID2
1,HOOK3
1,HNRNPD
1,HNRNPA3
3,AF127577.4
3,AC015712.2
3,AL035701.1
3,AC005208.1
3,CCDC13-AS1
3,AC090617.5
3,LINC01625
3,AL109947.1
7,AL050309.1
3,SACS-AS1
3,LHFPL3-AS2
3,AL033384.1
2,DLEU2
4,HELZ
1,GSTA4
1,GPX7
1,GPD2
4,GPATCH8
1,GPATCH2L
1,GLCCI1
1,GCA
1,FZD6
5,AL445645.1
3,AC121757.1
5,LINC00343
3,AC024075.2
5,AP000787.1
5,AL049838.1
5,AL136366.1
5,ZNF793-AS1
5,SOX9-AS1
5,AC136475.2
5,TMEM51-AS1
3,DOCK9-DT
5,AC012313.5
5,FAM13A-AS1
5,PPM1F-AS1
3,MIR3936HG
5,SERTAD4-AS1
5,AC253536.3
5,ATP2C2-AS1
5,AC245052.4
5,AC108860.2
5,LINC01135
5,AP005329.1
2,PAN3-AS1
5,IRF2-DT
3,Z97989.1
3,AC107068.1
7,FLJ37453
5,AL022069.1
3,LIFR-AS1
5,SNHG22
5,AC012676.1
3,AL162377.1
5,KRT7-AS
3,LHFPL3-AS1
5,TRHDE-AS1
3,AL390195.2
5,AP001528.1
5,AL162231.4
2,FOSL2
2,EPB41L4A-AS1
4,FLT3LG
1,FGF14
1,FBXL4
6,FBXL12
4,FAM83H
4,EZH1
1,EXOSC2
1,EVL
1,EML4
1,ELOVL1
2,LINC00852
2,LINC00562
2,LINC00460
1,DUS3L
1,DPY30
1,DNMT3A
4,DNM2
1,DNA2
1,DHX9
1,DHX15
5,AL022344.1
3,AL138756.1
5,AC072061.1
5,LMNTD2-AS1
3,ADAMTS9-AS1
2,LINC00271
5,AP000866.2
1,DDX20
1,DDHD1
1,DCLRE1C
3,AP001267.3
3,AC022395.1
3,AC073896.4
3,VPS13B-DT
3,AC015726.1
3,SATB2-AS1
3,AC087477.2
3,AC104938.1
3,AL357140.2
3,AC007566.1
3,CERNA1
1,CMTR1
4,CLCN2
1,CHORDC1
4,CHKA
1,CHIC2
1,CHD8
1,CERS5
1,CEP192
1,CEP128
1,CCNT2
4,CBFA2T2
1,CAMK1D
1,CAD
4,C9orf72
1,C4orf46
1,BTAF1
1,BRD1
1,BLVRA
1,BIVM
4,BCL2
1,BBS1
1,BAZ1A
1,BANF1
1,ATP9A
6,ASB3
1,ARHGEF28
4,ARFGAP1
1,ANXA1
1,ANKRD39
4,ANKDD1B
1,AMMECR1
5,ALKBH5
1,AGRN
4,AGBL2
6,ACVR2A
1,ABL2
1,ABL1
6,ZNF518B
6,ZNF488
6,YTHDF3
6,UROS
3,NORAD
3,AC016027.2
3,AC087071.2
3,AC018742.1
3,SUCLG2-AS1
6,UCK2
2,GNAS-AS1
2,LINC00184
4,TUBB3
6,TOB1
6,TMEM41B
6,TMEM33
6,TLK1
3,MIR222HG
7,WARS2-AS1
3,AC019205.1
3,MIR646HG
6,ST3GAL4
2,SPI1
6,SOBP
6,SNAPC1
6,SMPD1
6,SLC2A8
6,SLC25A5
6,SLC25A4
6,SLC22A17
6,SLC19A2
6,SH3RF3
6,SGPP1
6,SESN2
6,SC5D
2,TSPEAR-AS1
6,RDH11
3,AL139220.2
3,AL359232.1
7,SLC8A1-AS1
3,AC137630.1
3,LINC01603
3,UBL7-AS1
4,PSRC1
6,PSPH
6,PSME4
6,PSKH1
6,PRRG1
6,PIGS
6,PGP
2,PBX3
6,OAT
2,NR3C1
6,NNT
6,NDUFA4
6,MTMR6
6,MTCL1
6,MRPS30
6,MRPL35
3,FAM201A
3,LRIG2-DT
2,SNHG6
3,AC096719.1
3,PRR7-AS1
6,MOSPD1
6,MOB1B
6,MFHAS1
6,MAPK6
6,LYPLA1
4,LRPAP1
6,LRP6
6,LARP4
6,KLHL42
2,ATP6V0E2-AS1
3,SP2-AS1
3,LINC00467
3,TMEM202-AS1
3,AC009948.1
3,LINC01291
3,AC010186.3
3,TTN-AS1
3,COX10-AS1
3,THUMPD3-AS1
3,ZNF433-AS1
3,CHROMR
3,AL445524.1
3,USP46-DT
3,PTOV1-AS1
3,DHRS4-AS1
3,AC025171.1
3,ST7-AS1
5,AC005498.3
6,IDH3A
6,HUS1
6,HSPA2
4,HSPA1B
6,HSP90AA1
2,PRRT3-AS1
3,AC074032.1
7,AC016745.1
3,SATB1-AS1
3,STEAP3-AS1
3,LINC01436
3,PRKAR2A-AS1
3,CDK6-AS1
3,AC124248.1
7,SCAT1
3,AC116021.1
3,STXBP5-AS1
3,LINC01301
3,AC139100.1
3,LEMD1-AS1
3,LINC02345
3,B4GALT1-AS1
3,LINC01303
3,AL353150.1
3,LINC02828
3,LINC00664
3,AL035446.1
6,HECTD1
6,GULP1
6,GSTM3
6,GRSF1
6,GRHL3
6,GPNMB
6,GMFB
6,GINS3
6,GDE1
6,FZD7
5,NAGPA-AS1
2,FOXH1
2,FOS
6,FNIP2
6,FH
6,FAM174B
6,FAHD2A
2,AC005225.3
3,ZNF232-AS1
2,LINC00310
6,ENOPH1
7,LMCD1-AS1
3,SLC25A5-AS1
3,BSN-DT
2,UBAC2-AS1
2,MAP3K20-AS1
2,APCDD1L-DT
6,EDEM1
6,DPYSL4
6,DNASE1
6,DNAAF2
6,DLD
6,DLAT
5,FIRRE
5,AC027373.1
6,DCK
6,DARS2
6,CYCS
6,CTPS1
3,AL121672.1
2,GHRLOS
7,MIR181A2HG
3,FOXP4-AS1
3,AC036108.1
2,PRKG1-AS1
3,STX18-AS1
3,AL929236.1
6,CLN8
4,CFP
6,CFL2
6,CENPV
2,LINC00857
6,CASKIN1
3,SREBF2-AS1
3,AC007342.4
6,CAPN7
6,C5orf22
6,BOLA3
1,BCL2L1
6,BAMBI
6,ATP6V1H
6,ATP6V1G1
6,ATP6V1D
6,ATP6V1C1
6,ATP6V0D1
6,ARL6IP1
6,AREL1
6,AP5M1
6,ANKS1A
6,ALDH1B1
6,AIMP2
6,ACAT2
6,ABR
3,AC010504.1
3,AC009779.2
3,AC024575.1
3,RNASEH1-AS1
3,PLBD1-AS1
5,LINC02762
3,SCAMP1-AS1
3,CRTC3-AS1
7,TARDBP
7,ZRANB2-AS1
2,EGOT
4,SOX13
4,SIGIRR
4,SH3GLB2
7,PARD3-AS1
7,AC026369.1
7,AC004160.1
7,CT66
7,AP000866.1
3,Z98884.1
3,ZBED5-AS1
3,LINC01140
3,AC015631.1
3,AC025569.1
3,CYP51A1-AS1
3,Z84485.1
3,LINC01137
3,AC027237.3
7,AL359710.1
3,SDCBP2-AS1
2,ZNF503-AS2
2,ST7-AS2
4,MUC4
3,AL450263.1
3,MIR181A1HG
2,MIR99AHG
4,LLGL2
3,ZFPM2-AS1
3,AC008429.1
2,IFNG
4,HOOK2
3,AL139383.1
3,AC092652.1
7,AC037487.1
3,BET1-AS1
3,AL592430.1
3,AC079145.1
5,TAX1BP1-AS1
3,DIAPH2-AS1
5,SOS1-IT1
3,FRG1-DT
5,AF131216.1
5,TMC3-AS1
5,CADM3-AS1
5,AC097634.1
5,ERI3-IT1
5,AC002456.1
5,AC091057.2
5,AC138150.1
5,LINC02432
3,ITGA9-AS1
2,KIF9-AS1
5,GTF3C2-AS1
5,COL18A1-AS1
5,AL161457.2
2,AC069224.1
2,DSCR9
2,NECTIN3-AS1
2,CTD-2297D10.2
5,AL137782.1
3,LINC00519
3,AP000781.1
3,AL136531.1
3,ZRANB2-AS2
3,AC023906.5
5,LINC02848
3,AC103702.1
6,CD200
2,BRF1
2,RBMS3-AS2
6,BDNF
6,ZNFX1
6,ZNF830
4,ZNF710
4,ZNF654
1,ZNF627
4,ZNF480
6,ZNF438
6,ZNF362
6,ZNF251
4,ZNF217
6,ZKSCAN4
4,ZFHX3
6,ZFAND5
4,ZDHHC13
4,ZC3H4
1,ZC3H15
6,ZBTB46
1,YWHAE
1,XRCC5
4,XPA
6,XAF1
1,WWOX
6,WWC3
4,WNT16
6,WDR37
3,AC015845.2
3,CIRBP-AS1
3,AC009088.1
3,AC093010.1
3,Z99943.1
3,AC007220.1
3,LINC01762
3,SPINT1-AS1
3,LINC00494
3,SLC9A3-AS1
3,AC048341.1
4,VTI1B
1,VPS26A
6,VPS13A
9,VEGFA
1,UTP18
4,USP3
4,USP16
1,USP14
1,USP10
6,UPF2
3,AC118754.1
3,LINC01700
3,EPS15-AS1
3,AL139287.1
7,AC009065.2
3,AL109615.3
1,UCHL5
6,UBTF
4,UBR5
1,UBLCP1
6,UBE2N
1,UBE2L3
1,UBE2E2
2,SH3BP5-AS1
1,TTC33
6,TTC32
4,TTC3
6,TTC14
6,TTC12
1,TSN
6,TSHZ1
6,TSC22D1
6,TSC2
1,TRUB1
4,TRIP11
6,TRIM4
4,TRAPPC6B
4,TRAPPC10
1,TOR3A
3,AC108134.2
2,AC007098.1
4,TNRC6B
6,TNKS1BP1
1,TNFRSF19
6,TMC6
6,TIMP4
6,TIMP3
1,TIMM17A
1,THADA
6,TGOLN2
2,HCG20
6,TET3
4,TCP11L2
6,TCP11L1
3,AC114316.1
3,LINC01355
6,SYNE2
1,SUMF2
4,STRBP
1,SSBP1
1,SRPK1
1,SRFBP1
6,SPRY2
4,SPIRE1
2,LINC01933
2,SPDEF
2,CCDC26
4,SNX13
1,SNTB2
4,SMURF1
6,SMG6
6,SMAD6
1,SMAD5
2,SMAD3
2,MIAT
4,SLMAP
6,SLC44A2
1,SLC30A6
1,SLC26A2
6,SLC25A30
6,SLC25A29
4,SLC14A1
6,SKI
6,SIN3B
6,SIN3A
1,SHOC2
6,SHANK2
6,SH3D19
6,SH3BGRL2
4,SFMBT1
6,SF3B1
6,SETX
4,SETD2
6,SESN1
1,SERTAD4
6,SERPINB6
4,SELENBP1
1,SEH1L
6,SDCCAG8
1,SDAD1
4,SCNN1A
1,SATB2
6,SAP30L
6,SALL1
6,RXRB
4,RTEL1
6,RSAD2
1,RRP15
6,RPS6KA2
1,RPRD1A
6,RPF1
6,RNF146
6,RIPK1
1,RHNO1
1,RHEB
4,RGMB
6,RGCC
6,RFTN1
2,FTX
2,ANKRD10-IT1
1,REG1A
1,RDX
1,RBMXL1
3,LINC01480
6,RBFOX2
6,RASEF
6,RASA1
1,RAB11FIP5
1,RAB11FIP2
6,PYROXD2
5,AC021078.1
5,PUM2
5,THAP9-AS1
6,PTPRR
6,PTPRM
1,PTGES3
2,MIR155HG
2,LBX2-AS1
6,PSMD1
1,PSMA5
1,PSMA4
6,PRPF4B
1,PRPF18
1,PREPL
6,PRDM2
1,PPP1CC
4,PPM1A
2,PPARGC1A
2,PPARG
4,PPARA
2,USP12-AS2
2,LINC00337
2,SUCLA2-AS1
1,POLR1B
6,POLD3
6,POGZ
6,PODXL
4,PHLDB2
4,PHC3
6,PHC2
6,PGS1
6,PGM5
6,PGAP3
6,PER2
4,PDP2
6,PDCD11
6,PCSK5
6,PCMTD2
1,PCMT1
6,PCDH18
6,PALB2
1,PAIP2
6,OSBPL5
4,OPA1
6,OLFML2A
6,OAS3
6,OAS2
3,AL139095.4
6,NSUN2
6,NSMF
6,NSMCE4A
1,NSMCE1
6,NSD1
4,NPTN
6,NOSTRIN
6,NOLC1
6,NHSL1
6,NET1
