glayCluster,name
3,AL450306.1
3,AL161452.1
3,AC144548.1
3,AC026191.1
3,AL512353.1
3,CTC-338M12.4
3,AP001372.1
4,IFT140
3,DAAM2-AS1
3,AL359317.1
3,AL354836.1
3,FALEC
3,AC092756.1
3,ZBTB20-AS1
3,AC023830.1
3,AC005410.2
3,AC009549.1
3,LINC00640
3,AC009404.1
3,AC005355.1
3,LINC02069
3,CLIP1-AS1
3,AC079385.2
3,AC104785.1
4,HFM1
4,GPS1
2,GNAS
4,GNAI1
4,GMEB2
6,GET4
4,GDF15
4,GCDH
2,GATA1
4,FZD8
5,KIAA1671-AS1
5,BRWD1-AS2
5,AP001442.1
5,AC018647.1
5,JARID2-AS1
5,AC092802.1
7,AL359504.1
5,TOB1-AS1
5,AC131097.2
5,AL162311.3
5,AC133550.3
5,AC005722.3
5,LINC02601
5,AL117336.2
5,AC006058.1
5,LINC02731
3,FAM181A-AS1
5,AC026471.2
5,AC010883.1
5,RPL34-DT
5,LINC01431
5,LINC02328
5,HIPK1-AS1
5,GIHCG
5,AC010422.1
3,PPP1R12A-AS1
5,AC099778.1
5,AC092828.1
5,EMC1-AS1
5,AL138690.1
4,FTCD
4,FKBP1A
6,FHOD3
4,FAM167A
4,ESM1
1,ERO1A
4,ERCC2
6,ENAH
6,EMG1
6,EME1
2,PRKCQ-AS1
4,ELAC1
6,EIF6
4,EFCAB2
2,LINC00652
4,DYRK4
4,DNAJC5
7,RPL37A-DT
5,AC008915.2
5,AL353795.2
5,TBX2-AS1
5,AC087294.1
5,AC134682.1
5,MHENCR
5,AP002748.4
4,DCLK2
6,DCAF13
6,CST3
6,CSF2
1,CRIP1
2,PRKAG2-AS1
3,GS1-24F4.2
3,AC012645.1
3,AC007292.1
3,TFAP2E-AS1
3,EZR-AS1
4,COX6C
1,COL7A1
4,CNOT3
4,CMBL
6,CKLF
4,CHTF18
2,NRAD1
4,CDH2
4,CDC42EP3
4,CCNF
4,CALR
4,CACNB1
4,C3orf33
6,BPGM
4,BCKDHA
4,BCAT2
4,B9D1
4,B4GALT7
4,ASTE1
4,ASAP3
4,ARHGAP39
4,ARF6
6,ARF5
2,FAM87B
1,APCDD1L
4,ANXA2
1,ANG
4,ALG5
1,ALDOC
6,AKR1B1
4,AEN
6,ADORA2B
4,ADCY1
1,ABCC1
3,AC092718.2
3,LINC01220
2,LINC00313
6,SYN3
6,SUCLA2
6,STC2
9,SPAG1
6,SOCS5
4,SNRK
6,SERINC1
6,SDHB
6,SATB1
6,RHBDD1
7,LIX1-AS1
7,HID1-AS1
3,LINC02774
9,RASGRF2
5,AC027097.1
6,PJA2
6,PIP5K1A
6,PIK3C3
6,PHF10
9,OMG
6,MTM1
6,MLF1
9,MATN4
6,LEMD3
6,LDB2
6,KLF6
6,KAT2B
6,IPO11
6,IBTK
6,HSPB7
2,AC073389.1
3,GPRC5D-AS1
3,LINC01537
6,HDX
6,GPRASP1
2,BACH1-IT2
5,AC007406.3
6,ETS2
6,DNAJB5
9,DLX2
6,DDX3X
1,DAAM2
5,PROSER2-AS1
6,COL14A1
6,CLEC14A
2,MLIP-IT1
2,MIMT1
6,CDK20
9,CCL16
6,C3orf52
6,BTG2
6,BTF3L4
6,BMP2
6,APOLD1
6,AP1S3
6,A2M
3,AL596218.1
3,AC090241.2
3,CFAP58-DT
3,AL353751.1
1,TWIST1
